state,x,y
Jammu and Kashmir,-85.0,176.0
HimachalPradesh,-71.0,144.0
Punjab,-91.0 ,125.0
Uttarakhand,-40.0,118.0
Haryana,-80.0,105.0
Rajasthan,-110.0,63.0
Uttar Pradesh,-36.0,73.0
Bihar,32.0,57.0
Sikkim,70.0,87.0
Assam,126.0,77.0
Arunachal Pradesh,148.0,108.0
Nagaland,150.0,75.0
Manipur,144.0,56.0
Mizoram,135.0,37.0
Tripura,120.0,42.0
Meghalaya,112.0,66.0
West Bengal,68.0,24.0
Jharkhand,29.0,26.0
Chhatisgarh,-6.0,-0.0
Madhya Pradesh,-60.0,24.0
Gujarat,-139.0,22.0
Maharastra,-82.0,-26.0
Orrisa,31.0,-10.0
Telangana,-43.0,-48.0
Goa,-106.0,-86.0
Andhra Pradesh,-43.0,-90.0
Karnataka,-90.0,-102.0
Kerala,-80.0,-145.0
Tamil Nadu,-51.0,-139.0
Andaman & Nicobar Islands,152.0,-118.0
Lakshadweep,-126.0,-147.0